"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"HOU","3","AL",161,"100","61",".621","-1","5.5","4.3","1.2","0.0","1.2","98-63",2,"15-5","48-33","52-28","4-4","18-13","79-37","21-24","17-15","83-46","7-3","14-6","21-9","3","32-16","68-45","95-56","5-5","100-61",0.012,0.193,0.667,0.046,0.602,-0.019,0.75,0.129,0.593,-0.028,0.65,0.029,0.5,-0.121,0.581,-0.04,0.681,0.0600000000000001,0.467,-0.154,0.531,-0.09,0.643,0.022,0.7,0.079,0.7,0.079,0.7,0.079,0.629,0.00800000000000001,0.5,-0.121
"KCR","13","AL",161,"80","81",".497","2","4.3","4.8","-0.5","0.2","-0.3","73-88",7,"9-10","43-37","37-44","4-7","25-16","62-59","18-22","29-41","51-40","6-4","10-10","15-15","23","27-26","53-55","75-79","5-2","72-89",0.043,0.255,0.509,0.012,0.491,-0.00600000000000001,0.474,-0.023,0.538,0.041,0.457,-0.04,0.364,-0.133,0.61,0.113,0.512,0.015,0.45,-0.047,0.414,-0.083,0.56,0.0630000000000001,0.6,0.103,0.5,0.003,0.5,0.003,0.487,-0.01,0.714,0.217
"LAA","14","AL",161,"79","82",".491","-1","4.4","4.4","0.0","0.2","0.1","80-81",-1,"11-9","42-38","37-44","8-7","27-22","56-58","23-24","21-31","58-51","3-7","7-13","13-17","24","18-24","61-58","75-79","4-3","80-81",-0.006,0.304,0.429,-0.062,0.513,0.022,0.55,0.0590000000000001,0.525,0.034,0.457,-0.034,0.533,0.042,0.551,0.0600000000000001,0.491,0,0.489,-0.002,0.404,-0.087,0.532,0.041,0.3,-0.191,0.35,-0.141,0.433,-0.058,0.487,-0.004,0.571,0.08
"LAD","1","NL",161,"103","58",".640","1","4.7","3.6","1.2","-0.3","0.9","101-60",2,"16-4","57-24","46-34","8-4","25-19","71-43","32-15","35-33","68-25","7-3","11-9","12-18","0","30-14","73-44","103-58","0-0","103-58",0.012,0.273,0.682,0.042,0.624,-0.016,0.8,0.16,0.704,0.0639999999999999,0.575,-0.0650000000000001,0.667,0.027,0.568,-0.0720000000000001,0.623,-0.017,0.681,0.041,0.515,-0.125,0.731,0.091,0.7,0.0599999999999999,0.55,-0.09,0.4,-0.24,0.64,0,NA,NA
"MIA","18","NL",161,"77","84",".478","3","4.8","5.1","-0.3","-0.2","-0.5","77-84",0,"9-11","43-37","34-47","6-5","18-22","64-64","13-20","22-40","55-44","6-4","9-11","11-19","26","24-24","53-60","76-83","1-1","76-85",0,0.248,0.5,0.022,0.469,-0.00900000000000001,0.45,-0.028,0.538,0.0600000000000001,0.42,-0.058,0.545,0.0670000000000001,0.45,-0.028,0.5,0.022,0.394,-0.084,0.355,-0.123,0.556,0.0780000000000001,0.6,0.122,0.45,-0.028,0.367,-0.111,0.478,0,0.5,0.022
"MIL","10","NL",161,"85","76",".528","-1","4.5","4.3","0.2","-0.1","0.1","84-77",1,"11-9","44-37","41-39","5-11","25-22","68-59","17-17","36-38","49-38","4-6","12-8","17-13","18","31-29","54-47","81-75","4-1","84-77",0.006,0.292,0.517,-0.011,0.535,0.00700000000000001,0.55,0.022,0.543,0.015,0.512,-0.016,0.312,-0.216,0.532,0.004,0.535,0.00700000000000001,0.5,-0.028,0.486,-0.042,0.563,0.0349999999999999,0.4,-0.128,0.6,0.072,0.567,0.0389999999999999,0.519,-0.00900000000000001,0.8,0.272
"MIN","11","AL",161,"84","77",".522","-1","5.0","4.9","0.1","0.1","0.2","83-78",1,"13-7","40-40","44-37","3-3","15-18","58-54","26-23","20-31","64-46","6-4","10-10","16-14","19","27-34","57-43","81-74","3-3","83-78",0.006,0.205,0.443,-0.079,0.57,0.0479999999999999,0.65,0.128,0.5,-0.022,0.543,0.021,0.5,-0.022,0.455,-0.067,0.518,-0.004,0.531,0.00900000000000001,0.392,-0.13,0.582,0.0599999999999999,0.6,0.078,0.5,-0.022,0.533,0.011,0.523,0.001,0.5,-0.022
"NYM","25","NL",161,"70","91",".435","1","4.6","5.3","-0.7","-0.1","-0.9","70-91",0,"7-13","37-44","33-47","3-8","21-24","55-68","15-23","17-49","53-42","5-5","8-12","13-17","33","15-32","55-59","70-91","0-0","69-92",0,0.28,0.319,-0.116,0.482,0.047,0.35,-0.085,0.457,0.022,0.412,-0.023,0.273,-0.162,0.467,0.032,0.447,0.012,0.395,-0.04,0.258,-0.177,0.558,0.123,0.5,0.065,0.4,-0.035,0.433,-0.002,0.435,0,NA,NA
"NYY","8","AL",161,"91","70",".565","2","5.3","4.1","1.2","0.1","1.3","100-61",-9,"15-5","51-29","40-41","5-6","18-25","67-48","24-22","26-22","65-48","7-3","15-5","21-9","12","34-26","57-44","85-60","6-10","101-60",-0.056,0.267,0.567,0.002,0.564,-0.001,0.75,0.185,0.638,0.0730000000000001,0.494,-0.071,0.455,-0.11,0.419,-0.146,0.583,0.018,0.522,-0.0429999999999999,0.542,-0.0229999999999999,0.575,0.01,0.7,0.135,0.75,0.185,0.7,0.135,0.586,0.021,0.375,-0.19
"OAK","22","AL",161,"74","87",".460","-2","4.6","5.1","-0.6","0.2","-0.4","72-89",2,"7-13","46-35","28-52","4-9","21-21","56-61","18-26","24-25","50-62","6-4","13-7","16-14","29","34-28","40-59","73-80","1-7","71-90",0.012,0.261,0.548,0.088,0.404,-0.056,0.35,-0.11,0.568,0.108,0.35,-0.11,0.308,-0.152,0.5,0.04,0.479,0.019,0.409,-0.051,0.49,0.03,0.446,-0.014,0.6,0.14,0.65,0.19,0.533,0.073,0.477,0.017,0.125,-0.335
"PHI","28","NL",161,"65","96",".404","-1","4.2","4.9","-0.6","-0.1","-0.8","70-91",-5,"5-15","38-42","27-54","7-10","21-36","41-75","24-21","23-43","42-53","5-5","12-8","16-14","38","25-31","40-65","65-96","0-0","69-92",-0.031,0.354,0.446,0.042,0.381,-0.023,0.25,-0.154,0.475,0.071,0.333,-0.071,0.412,0.00799999999999995,0.368,-0.036,0.353,-0.051,0.533,0.129,0.348,-0.056,0.442,0.038,0.5,0.096,0.6,0.196,0.533,0.129,0.404,0,NA,NA
"PIT","21","NL",161,"74","87",".460","1","4.1","4.5","-0.4","-0.1","-0.5","73-88",1,"10-10","44-37","30-50","8-9","20-24","58-63","16-24","39-50","35-37","6-4","7-13","11-19","29","28-22","46-65","73-85","1-2","73-88",0.006,0.273,0.56,0.1,0.414,-0.046,0.5,0.04,0.543,0.083,0.375,-0.085,0.471,0.011,0.455,-0.005,0.479,0.019,0.4,-0.06,0.438,-0.022,0.486,0.026,0.6,0.14,0.35,-0.11,0.367,-0.093,0.462,0.002,0.333,-0.127
"SDP","24","NL",161,"71","90",".441","1","3.7","5.0","-1.3","0.0","-1.3","59-102",12,"8-12","43-38","28-52","4-7","19-18","52-63","19-27","35-56","36-34","3-7","8-12","14-16","32","19-30","52-60","71-90","0-0","57-104",0.075,0.23,0.388,-0.053,0.464,0.023,0.4,-0.041,0.531,0.09,0.35,-0.091,0.364,-0.077,0.514,0.073,0.452,0.011,0.413,-0.028,0.385,-0.056,0.514,0.073,0.3,-0.141,0.4,-0.041,0.467,0.026,0.441,0,NA,NA
"SEA","17","AL",161,"78","83",".484","1","4.6","4.8","-0.1","0.1","0.0","79-82",-1,"12-8","40-41","38-42","7-5","26-15","56-60","22-23","20-32","58-51","4-6","8-12","12-18","25","23-30","55-53","76-78","2-5","79-82",-0.006,0.255,0.434,-0.05,0.509,0.025,0.6,0.116,0.494,0.01,0.475,-0.00900000000000001,0.583,0.099,0.634,0.15,0.483,-0.001,0.489,0.005,0.385,-0.099,0.532,0.048,0.4,-0.084,0.4,-0.084,0.4,-0.084,0.494,0.01,0.286,-0.198
"SFG","30","NL",161,"63","98",".391","-1","3.9","4.8","-0.9","0.0","-0.9","66-95",-3,"8-12","37-43","26-55","12-7","22-24","45-68","18-30","36-54","27-44","5-5","9-11","11-19","40","21-35","42-63","63-98","0-0","65-96",-0.019,0.286,0.375,-0.016,0.4,0.00900000000000001,0.4,0.00900000000000001,0.462,0.071,0.321,-0.07,0.632,0.241,0.478,0.087,0.398,0.00700000000000001,0.375,-0.016,0.4,0.00900000000000001,0.38,-0.011,0.5,0.109,0.45,0.059,0.367,-0.024,0.391,0,NA,NA
"STL","12","NL",161,"83","78",".515","1","4.7","4.3","0.4","-0.1","0.2","87-74",-4,"8-12","44-36","39-42","5-9","24-29","64-62","19-16","27-43","56-35","4-6","10-10","17-13","20","26-26","57-52","83-78","0-0","87-74",-0.025,0.329,0.5,-0.015,0.523,0.00800000000000001,0.4,-0.115,0.55,0.035,0.481,-0.034,0.357,-0.158,0.453,-0.062,0.508,-0.00700000000000001,0.543,0.028,0.386,-0.129,0.615,0.1,0.4,-0.115,0.5,-0.015,0.567,0.0519999999999999,0.516,0.001,NA,NA
"TBR","15","AL",161,"79","82",".491","3","4.3","4.4","-0.1","0.2","0.1","79-82",0,"11-9","41-39","38-43","8-6","21-24","60-53","19-29","31-37","48-45","6-4","9-11","15-15","24","27-29","52-53","36-39","43-43","79-82",0,0.28,0.482,-0.00900000000000001,0.495,0.004,0.55,0.0590000000000001,0.512,0.021,0.469,-0.022,0.571,0.08,0.467,-0.024,0.531,0.04,0.396,-0.095,0.456,-0.035,0.516,0.025,0.6,0.109,0.45,-0.041,0.5,0.00900000000000001,0.48,-0.011,0.5,0.00900000000000001
"TEX","16","AL",161,"78","83",".484","2","5.0","5.0","-0.1","0.1","0.0","79-82",-1,"14-6","41-39","37-44","5-5","13-24","56-65","22-18","18-30","60-53","3-7","7-13","13-17","25","21-22","57-61","72-80","6-3","79-82",-0.006,0.23,0.488,0.004,0.483,-0.001,0.7,0.216,0.512,0.028,0.457,-0.027,0.5,0.016,0.351,-0.133,0.463,-0.021,0.55,0.0660000000000001,0.375,-0.109,0.531,0.047,0.3,-0.184,0.35,-0.134,0.433,-0.051,0.474,-0.01,0.667,0.183
"TOR","19","AL",161,"75","86",".466","-3","4.3","4.9","-0.6","0.3","-0.3","71-90",4,"9-11","42-39","33-47","5-14","25-27","58-62","17-24","26-41","49-45","4-6","11-9","14-16","28","30-29","45-57","29-41","46-45","70-91",0.025,0.323,0.508,0.042,0.441,-0.025,0.45,-0.016,0.519,0.053,0.412,-0.054,0.263,-0.203,0.481,0.015,0.483,0.017,0.415,-0.051,0.388,-0.078,0.521,0.055,0.4,-0.066,0.55,0.084,0.467,0.001,0.414,-0.052,0.505,0.039
"WSN","4","NL",161,"97","64",".603","-1","5.0","4.1","0.9","-0.4","0.6","95-66",2,"10-10","47-33","50-31","7-4","30-21","75-50","22-14","23-19","74-45","5-5","10-10","17-13","6","27-29","70-35","97-64","0-0","97-64",0.012,0.317,0.482,-0.121,0.667,0.0640000000000001,0.5,-0.103,0.588,-0.015,0.617,0.014,0.636,0.033,0.588,-0.015,0.6,-0.003,0.611,0.00800000000000001,0.548,-0.0549999999999999,0.622,0.019,0.5,-0.103,0.5,-0.103,0.567,-0.036,0.602,-0.001,NA,NA
