"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"HOU","3","AL",160,"100","60",".625","5","5.6","4.3","1.2","0.0","1.2","98-62",2,"15-5","48-33","52-27","4-4","18-13","79-37","21-23","17-14","83-46","8-2","14-6","21-9","2","33-15","67-45","95-55","5-5","100-60",0.012,0.194,0.688,0.0629999999999999,0.598,-0.027,0.75,0.125,0.593,-0.032,0.658,0.033,0.5,-0.125,0.581,-0.044,0.681,0.056,0.477,-0.148,0.548,-0.077,0.643,0.018,0.8,0.175,0.7,0.075,0.7,0.075,0.633,0.00800000000000001,0.5,-0.125
"KCR","14","AL",160,"79","81",".494","1","4.4","4.8","-0.5","0.2","-0.3","72-88",7,"8-10","42-37","37-44","4-7","24-16","61-59","18-22","28-41","51-40","6-4","10-10","15-15","23","27-26","52-55","74-79","5-2","72-88",0.044,0.25,0.509,0.015,0.486,-0.00800000000000001,0.444,-0.05,0.532,0.038,0.457,-0.037,0.364,-0.13,0.6,0.106,0.508,0.014,0.45,-0.044,0.406,-0.088,0.56,0.0660000000000001,0.6,0.106,0.5,0.00600000000000001,0.5,0.00600000000000001,0.484,-0.01,0.714,0.22
"LAA","13","AL",160,"79","81",".494","1","4.4","4.4","0.0","0.2","0.1","80-80",-1,"11-9","42-37","37-44","8-7","27-22","56-58","23-23","21-31","58-50","3-7","7-13","13-17","23","19-23","60-58","75-78","4-3","80-80",-0.006,0.306,0.452,-0.042,0.508,0.014,0.55,0.056,0.532,0.038,0.457,-0.037,0.533,0.039,0.551,0.0570000000000001,0.491,-0.003,0.5,0.00600000000000001,0.404,-0.09,0.537,0.043,0.3,-0.194,0.35,-0.144,0.433,-0.061,0.49,-0.004,0.571,0.077
"LAD","1","NL",160,"102","58",".637","-1","4.7","3.6","1.2","-0.3","0.9","100-60",2,"16-4","57-24","45-34","8-4","25-19","70-43","32-15","34-33","68-25","6-4","10-10","11-19","0","29-15","73-43","102-58","0-0","102-58",0.012,0.275,0.659,0.022,0.629,-0.00800000000000001,0.8,0.163,0.704,0.0669999999999999,0.57,-0.0670000000000001,0.667,0.03,0.568,-0.0690000000000001,0.619,-0.018,0.681,0.044,0.507,-0.13,0.731,0.094,0.6,-0.037,0.5,-0.137,0.367,-0.27,0.638,0.001,NA,NA
"MIA","18","NL",160,"76","84",".475","2","4.8","5.1","-0.3","-0.2","-0.5","75-85",1,"9-11","42-37","34-47","6-5","18-22","63-64","13-20","22-40","54-44","6-4","9-11","10-20","26","24-24","52-60","75-83","1-1","75-85",0.006,0.25,0.5,0.025,0.464,-0.011,0.45,-0.025,0.532,0.0570000000000001,0.42,-0.055,0.545,0.0700000000000001,0.45,-0.025,0.496,0.021,0.394,-0.081,0.355,-0.12,0.551,0.0760000000000001,0.6,0.125,0.45,-0.025,0.333,-0.142,0.475,0,0.5,0.025
"MIL","10","NL",160,"85","75",".531","2","4.5","4.3","0.2","-0.1","0.1","83-77",2,"11-9","44-37","41-38","5-11","25-21","68-58","17-17","36-37","49-38","5-5","13-7","18-12","17","32-28","53-47","81-74","4-1","84-76",0.012,0.288,0.533,0.002,0.53,-0.001,0.55,0.019,0.543,0.012,0.519,-0.012,0.312,-0.219,0.543,0.012,0.54,0.00900000000000001,0.5,-0.031,0.493,-0.038,0.563,0.0319999999999999,0.5,-0.031,0.65,0.119,0.6,0.069,0.523,-0.00800000000000001,0.8,0.269
"MIN","11","AL",160,"84","76",".525","1","5.1","4.9","0.2","0.1","0.2","82-78",2,"13-7","40-39","44-37","3-3","15-17","58-53","26-23","20-31","64-45","6-4","11-9","17-13","18","28-33","56-43","81-73","3-3","82-78",0.012,0.2,0.459,-0.066,0.566,0.0409999999999999,0.65,0.125,0.506,-0.019,0.543,0.018,0.5,-0.025,0.469,-0.056,0.523,-0.002,0.531,0.00600000000000001,0.392,-0.133,0.587,0.0619999999999999,0.6,0.075,0.55,0.025,0.567,0.0419999999999999,0.526,0.001,0.5,-0.025
"NYM","25","NL",160,"69","91",".431","-1","4.6","5.3","-0.8","-0.1","-0.9","69-91",0,"7-13","37-44","32-47","2-8","21-24","54-68","15-23","17-49","52-42","4-6","8-12","12-18","33","14-33","55-58","69-91","0-0","68-92",0,0.281,0.298,-0.133,0.487,0.056,0.35,-0.081,0.457,0.026,0.405,-0.026,0.2,-0.231,0.467,0.036,0.443,0.012,0.395,-0.036,0.258,-0.173,0.553,0.122,0.4,-0.031,0.4,-0.031,0.4,-0.031,0.431,0,NA,NA
"NYY","8","AL",160,"90","70",".562","1","5.3","4.1","1.2","0.1","1.3","99-61",-9,"15-5","50-29","40-41","5-6","17-25","66-48","24-22","26-22","64-48","7-3","15-5","20-10","12","33-26","57-44","84-60","6-10","101-59",-0.056,0.262,0.559,-0.003,0.564,0.00199999999999989,0.75,0.188,0.633,0.071,0.494,-0.0680000000000001,0.455,-0.107,0.405,-0.157,0.579,0.0169999999999999,0.522,-0.04,0.542,-0.02,0.571,0.0089999999999999,0.7,0.138,0.75,0.188,0.667,0.105,0.583,0.0209999999999999,0.375,-0.187
"OAK","21","AL",160,"74","86",".463","-1","4.6","5.1","-0.5","0.2","-0.3","72-88",2,"7-13","46-35","28-51","4-9","21-21","56-60","18-26","24-25","50-61","7-3","14-6","16-14","28","34-28","40-58","73-79","1-7","71-89",0.012,0.262,0.548,0.085,0.408,-0.055,0.35,-0.113,0.568,0.105,0.354,-0.109,0.308,-0.155,0.5,0.037,0.483,0.02,0.409,-0.054,0.49,0.027,0.45,-0.013,0.7,0.237,0.7,0.237,0.533,0.07,0.48,0.017,0.125,-0.338
