"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"HOU","3","AL",156,"96","60",".615","1","5.4","4.4","1.1","0.0","1.1","93-63",3,"15-5","48-33","48-27","4-4","17-13","77-37","19-23","15-14","81-46","8-2","13-7","19-11","3.5","32-15","64-45","91-55","5-5","95-61",0.019,0.192,0.681,0.0660000000000001,0.587,-0.028,0.75,0.135,0.593,-0.022,0.64,0.025,0.5,-0.115,0.567,-0.048,0.675,0.0600000000000001,0.452,-0.163,0.517,-0.098,0.638,0.023,0.8,0.185,0.65,0.035,0.633,0.018,0.623,0.00800000000000001,0.5,-0.115
"KCR","16","AL",156,"76","80",".487","-2","4.4","4.9","-0.5","0.2","-0.3","70-86",6,"7-10","39-36","37-44","4-7","22-16","58-59","18-21","27-41","49-39","4-6","8-12","12-18","23.5","26-26","50-54","71-78","5-2","69-87",0.038,0.244,0.5,0.013,0.481,-0.00600000000000001,0.412,-0.075,0.52,0.033,0.457,-0.03,0.364,-0.123,0.579,0.092,0.496,0.00900000000000001,0.462,-0.025,0.397,-0.09,0.557,0.0700000000000001,0.4,-0.087,0.4,-0.087,0.4,-0.087,0.477,-0.01,0.714,0.227
"LAA","13","AL",156,"77","79",".494","-1","4.3","4.4","0.0","0.2","0.1","77-79",0,"11-9","41-37","36-42","8-6","26-21","55-56","22-23","21-31","56-48","3-7","7-13","12-18","22.5","18-24","59-55","73-76","4-3","77-79",0,0.301,0.429,-0.065,0.518,0.024,0.55,0.056,0.526,0.032,0.462,-0.032,0.571,0.077,0.553,0.0590000000000001,0.495,0.001,0.489,-0.005,0.404,-0.09,0.538,0.044,0.3,-0.194,0.35,-0.144,0.4,-0.094,0.49,-0.004,0.571,0.077
"LAD","1","NL",157,"100","57",".637","2","4.7","3.6","1.1","-0.3","0.9","98-59",2,"16-4","55-24","45-33","8-4","25-19","69-42","31-15","34-32","66-25","5-5","8-12","9-21","0","30-14","70-43","100-57","0-0","99-58",0.013,0.28,0.682,0.045,0.619,-0.018,0.8,0.163,0.696,0.0589999999999999,0.577,-0.0600000000000001,0.667,0.03,0.568,-0.0690000000000001,0.622,-0.015,0.674,0.037,0.515,-0.122,0.725,0.088,0.5,-0.137,0.4,-0.237,0.3,-0.337,0.637,0,NA,NA
"MIA","19","NL",156,"74","82",".474","1","4.8","5.0","-0.3","-0.2","-0.5","74-82",0,"9-11","40-37","34-45","6-5","17-22","62-63","12-19","22-38","52-44","6-4","7-13","11-19","25.5","24-23","50-59","73-81","1-1","74-82",0,0.25,0.511,0.037,0.459,-0.015,0.45,-0.024,0.519,0.045,0.43,-0.044,0.545,0.0710000000000001,0.436,-0.038,0.496,0.022,0.387,-0.087,0.367,-0.107,0.542,0.0680000000000001,0.6,0.126,0.35,-0.124,0.367,-0.107,0.474,0,0.5,0.026
"MIL","11","NL",156,"82","74",".526","-1","4.5","4.3","0.2","-0.1","0.1","81-75",1,"11-9","42-36","40-38","5-11","23-21","65-57","17-17","35-37","47-37","5-5","11-9","17-13","17.5","30-28","52-46","78-73","4-1","82-74",0.006,0.282,0.517,-0.00900000000000001,0.531,0.005,0.55,0.024,0.538,0.012,0.513,-0.013,0.312,-0.214,0.523,-0.003,0.533,0.00700000000000001,0.5,-0.026,0.486,-0.04,0.56,0.034,0.5,-0.026,0.55,0.024,0.567,0.0409999999999999,0.517,-0.00900000000000001,0.8,0.274
"MIN","10","AL",156,"82","74",".526","4","5.1","4.9","0.2","0.1","0.2","80-76",2,"13-7","39-39","43-35","3-3","15-17","57-51","25-23","19-29","63-45","5-5","11-9","17-13","17.5","27-32","55-42","79-71","3-3","80-76",0.013,0.205,0.458,-0.068,0.567,0.0409999999999999,0.65,0.124,0.5,-0.026,0.551,0.025,0.5,-0.026,0.469,-0.0570000000000001,0.528,0.002,0.521,-0.005,0.396,-0.13,0.583,0.0569999999999999,0.5,-0.026,0.55,0.024,0.567,0.0409999999999999,0.527,0.001,0.5,-0.026
"NYM","25","NL",157,"67","90",".427","1","4.6","5.3","-0.8","-0.1","-0.9","67-90",0,"7-13","35-44","32-46","2-8","20-24","53-67","14-23","17-49","50-41","4-6","8-12","11-19","33","15-33","52-57","67-90","0-0","66-91",0,0.28,0.312,-0.115,0.477,0.05,0.35,-0.077,0.443,0.016,0.41,-0.017,0.2,-0.227,0.455,0.028,0.442,0.015,0.378,-0.049,0.258,-0.169,0.549,0.122,0.4,-0.027,0.4,-0.027,0.367,-0.06,0.427,0,NA,NA
"NYY","8","AL",156,"87","69",".558","1","5.3","4.1","1.2","0.1","1.3","96-60",-9,"15-5","47-28","40-41","5-6","17-25","64-47","23-22","26-22","61-47","7-3","14-6","19-11","12.5","32-26","55-43","81-59","6-10","97-59",-0.058,0.269,0.552,-0.00600000000000001,0.561,0.003,0.75,0.192,0.627,0.069,0.494,-0.0640000000000001,0.455,-0.103,0.405,-0.153,0.577,0.0189999999999999,0.511,-0.047,0.542,-0.016,0.565,0.0069999999999999,0.7,0.142,0.7,0.142,0.633,0.075,0.579,0.0209999999999999,0.375,-0.183
"OAK","21","AL",156,"72","84",".462","-1","4.6","5.1","-0.5","0.2","-0.3","70-86",2,"7-13","45-34","27-50","4-9","20-21","54-60","18-24","24-25","48-59","8-2","14-6","17-13","27.5","33-28","39-56","71-77","1-7","69-87",0.013,0.263,0.541,0.079,0.411,-0.051,0.35,-0.112,0.57,0.108,0.351,-0.111,0.308,-0.154,0.488,0.026,0.474,0.012,0.429,-0.033,0.49,0.028,0.449,-0.013,0.8,0.338,0.7,0.238,0.567,0.105,0.48,0.018,0.125,-0.337
"PHI","29","NL",157,"62","95",".395","-1","4.2","4.9","-0.7","-0.1","-0.8","68-89",-6,"5-15","35-41","27-54","7-9","21-36","39-74","23-21","21-43","41-52","5-5","10-10","15-15","38","25-31","37-64","62-95","0-0","67-90",-0.038,0.363,0.446,0.051,0.366,-0.029,0.25,-0.145,0.461,0.066,0.333,-0.062,0.438,0.043,0.368,-0.027,0.345,-0.05,0.523,0.128,0.328,-0.067,0.441,0.046,0.5,0.105,0.5,0.105,0.5,0.105,0.395,0,NA,NA
"PIT","23","NL",156,"71","85",".455","2","4.1","4.5","-0.5","-0.1","-0.6","70-86",1,"8-10","42-37","29-48","8-9","20-23","55-61","16-24","38-48","33-37","3-7","7-13","11-19","28.5","27-22","44-63","70-83","1-2","69-87",0.006,0.276,0.551,0.096,0.411,-0.044,0.444,-0.011,0.532,0.077,0.377,-0.078,0.471,0.016,0.465,0.01,0.474,0.019,0.4,-0.055,0.442,-0.013,0.471,0.016,0.3,-0.155,0.35,-0.105,0.367,-0.088,0.458,0.003,0.333,-0.122
"SDP","24","NL",157,"70","87",".446","-2","3.8","5.0","-1.2","0.0","-1.2","59-98",11,"8-12","43-38","27-49","4-7","18-18","51-62","19-25","35-54","35-33","5-5","8-12","13-17","30","18-31","52-56","70-87","0-0","58-99",0.07,0.229,0.367,-0.079,0.481,0.035,0.4,-0.046,0.531,0.085,0.355,-0.091,0.364,-0.082,0.5,0.054,0.451,0.005,0.432,-0.014,0.393,-0.053,0.515,0.069,0.5,0.054,0.4,-0.046,0.433,-0.013,0.446,0,NA,NA
"SEA","17","AL",157,"76","81",".484","1","4.6","4.8","-0.1","0.2","0.0","76-81",0,"12-8","40-41","36-40","7-5","26-13","54-59","22-22","20-32","56-49","2-8","7-13","12-18","24","23-29","53-52","74-76","2-5","76-81",0,0.248,0.442,-0.042,0.505,0.021,0.6,0.116,0.494,0.01,0.474,-0.01,0.583,0.099,0.667,0.183,0.478,-0.00600000000000001,0.5,0.016,0.385,-0.099,0.533,0.049,0.2,-0.284,0.35,-0.134,0.4,-0.084,0.493,0.00900000000000001,0.286,-0.198
"SFG","30","NL",157,"62","95",".395","1","3.9","4.8","-0.9","0.0","-0.9","64-93",-2,"8-12","36-42","26-53","12-7","22-22","44-66","18-29","36-52","26-43","5-5","9-11","11-19","38","22-33","40-62","62-95","0-0","63-94",-0.013,0.28,0.4,0.005,0.392,-0.003,0.4,0.005,0.462,0.067,0.329,-0.066,0.632,0.237,0.5,0.105,0.4,0.005,0.383,-0.012,0.409,0.014,0.377,-0.018,0.5,0.105,0.45,0.055,0.367,-0.028,0.395,0,NA,NA
"STL","12","NL",156,"81","75",".519","-3","4.7","4.3","0.4","-0.2","0.2","85-71",-4,"8-12","42-33","39-42","5-8","22-28","62-59","19-16","25-40","56-35","4-6","12-8","17-13","18.5","25-27","56-48","81-75","0-0","85-71",-0.026,0.321,0.481,-0.038,0.538,0.019,0.4,-0.119,0.56,0.041,0.481,-0.038,0.385,-0.134,0.44,-0.079,0.512,-0.00700000000000001,0.543,0.024,0.385,-0.134,0.615,0.096,0.4,-0.119,0.6,0.081,0.567,0.0479999999999999,0.519,0,NA,NA
"TBR","15","AL",156,"76","80",".487","-1","4.3","4.4","-0.1","0.2","0.1","76-80",0,"11-9","39-39","37-41","8-6","20-24","58-52","18-28","30-35","46-45","4-6","8-12","15-15","23.5","26-29","50-51","35-37","41-43","76-80",0,0.282,0.473,-0.014,0.495,0.00800000000000001,0.55,0.0630000000000001,0.5,0.013,0.474,-0.013,0.571,0.084,0.455,-0.032,0.527,0.04,0.391,-0.096,0.462,-0.025,0.505,0.018,0.4,-0.087,0.4,-0.087,0.5,0.013,0.486,-0.001,0.488,0.001
"TEX","14","AL",156,"76","80",".487","-4","5.0","5.0","0.0","0.1","0.1","78-78",-2,"14-6","39-36","37-44","5-5","13-24","54-64","22-16","18-28","58-52","4-6","8-12","13-17","23.5","20-22","56-58","70-77","6-3","78-78",-0.013,0.237,0.476,-0.011,0.491,0.004,0.7,0.213,0.52,0.033,0.457,-0.03,0.5,0.013,0.351,-0.136,0.458,-0.029,0.579,0.092,0.391,-0.096,0.527,0.04,0.4,-0.087,0.4,-0.087,0.433,-0.054,0.476,-0.011,0.667,0.18
"TOR","20","AL",157,"74","83",".471","2","4.3","4.9","-0.6","0.3","-0.3","70-87",4,"9-11","42-39","32-44","5-14","25-26","58-60","16-23","25-38","49-45","6-4","11-9","14-16","26","31-27","43-56","28-38","46-45","69-88",0.025,0.325,0.534,0.0630000000000001,0.434,-0.037,0.45,-0.021,0.519,0.048,0.421,-0.05,0.263,-0.208,0.49,0.019,0.492,0.021,0.41,-0.061,0.397,-0.074,0.521,0.05,0.6,0.129,0.55,0.0790000000000001,0.467,-0.00399999999999995,0.424,-0.047,0.505,0.034
"WSN","4","NL",156,"95","61",".609","3","5.1","4.1","1.0","-0.4","0.6","93-63",2,"10-10","45-32","50-29","7-4","29-21","73-47","22-14","23-19","72-42","6-4","13-7","19-11","4.5","28-28","67-33","95-61","0-0","94-62",0.013,0.321,0.5,-0.109,0.67,0.0610000000000001,0.5,-0.109,0.584,-0.025,0.633,0.024,0.636,0.027,0.58,-0.029,0.608,-0.001,0.611,0.002,0.548,-0.0609999999999999,0.632,0.023,0.6,-0.00900000000000001,0.65,0.041,0.633,0.024,0.609,0,NA,NA
