"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"HOU","3","AL",155,"95","60",".613","-1","5.4","4.4","1.0","0.0","1.0","92-63",3,"15-5","48-33","47-27","4-4","17-13","76-37","19-23","15-14","80-46","8-2","13-7","19-11","3.5","31-16","64-44","90-55","5-5","93-62",0.019,0.194,0.66,0.047,0.593,-0.02,0.75,0.137,0.593,-0.02,0.635,0.022,0.5,-0.113,0.567,-0.046,0.673,0.0600000000000001,0.452,-0.161,0.517,-0.096,0.635,0.022,0.8,0.187,0.65,0.037,0.633,0.02,0.621,0.00800000000000001,0.5,-0.113
"KCR","15","AL",155,"76","79",".490","-1","4.4","4.9","-0.5","0.2","-0.3","70-85",6,"7-10","39-36","37-43","4-7","22-16","58-59","18-20","27-40","49-39","4-6","9-11","12-18","22.5","26-25","50-54","71-77","5-2","70-85",0.039,0.245,0.51,0.02,0.481,-0.00900000000000001,0.412,-0.078,0.52,0.03,0.462,-0.028,0.364,-0.126,0.579,0.089,0.496,0.00600000000000001,0.474,-0.016,0.403,-0.087,0.557,0.0670000000000001,0.4,-0.09,0.45,-0.04,0.4,-0.09,0.48,-0.01,0.714,0.224
"LAA","13","AL",155,"77","78",".497","1","4.4","4.4","0.0","0.2","0.2","77-78",0,"11-9","41-37","36-41","8-6","26-21","55-55","22-23","21-31","56-47","3-7","8-12","13-17","21.5","19-23","58-55","73-75","4-3","77-78",0,0.303,0.452,-0.045,0.513,0.016,0.55,0.053,0.526,0.029,0.468,-0.029,0.571,0.074,0.553,0.056,0.5,0.003,0.489,-0.00800000000000001,0.404,-0.093,0.544,0.047,0.3,-0.197,0.4,-0.097,0.433,-0.064,0.493,-0.004,0.571,0.074
"LAD","1","NL",156,"99","57",".635","1","4.7","3.6","1.1","-0.3","0.8","97-59",2,"16-4","54-24","45-33","8-4","25-19","69-42","30-15","34-32","65-25","5-5","7-13","9-21","0","29-14","70-43","99-57","0-0","98-58",0.013,0.282,0.674,0.039,0.619,-0.016,0.8,0.165,0.692,0.0569999999999999,0.577,-0.0580000000000001,0.667,0.032,0.568,-0.0670000000000001,0.622,-0.013,0.667,0.032,0.515,-0.12,0.722,0.087,0.5,-0.135,0.35,-0.285,0.3,-0.335,0.635,0,NA,NA
"MIA","19","NL",155,"73","82",".471","-1","4.7","5.0","-0.3","-0.2","-0.5","73-82",0,"9-11","40-37","33-45","6-5","16-22","61-63","12-19","21-38","52-44","5-5","6-14","11-19","25.5","23-23","50-59","72-81","1-1","73-82",0,0.245,0.5,0.029,0.459,-0.012,0.45,-0.021,0.519,0.048,0.423,-0.048,0.545,0.0740000000000001,0.421,-0.05,0.492,0.021,0.387,-0.084,0.356,-0.115,0.542,0.0710000000000001,0.5,0.029,0.3,-0.171,0.367,-0.104,0.471,0,0.5,0.029
"MIL","11","NL",156,"82","74",".526","-1","4.5","4.3","0.2","-0.1","0.1","81-75",1,"11-9","42-36","40-38","5-11","23-21","65-57","17-17","35-37","47-37","5-5","11-9","17-13","17","30-28","52-46","78-73","4-1","82-74",0.006,0.282,0.517,-0.00900000000000001,0.531,0.005,0.55,0.024,0.538,0.012,0.513,-0.013,0.312,-0.214,0.523,-0.003,0.533,0.00700000000000001,0.5,-0.026,0.486,-0.04,0.56,0.034,0.5,-0.026,0.55,0.024,0.567,0.0409999999999999,0.517,-0.00900000000000001,0.8,0.274
"MIN","10","AL",156,"82","74",".526","4","5.1","4.9","0.2","0.1","0.2","80-76",2,"13-7","39-39","43-35","3-3","15-17","57-51","25-23","19-29","63-45","5-5","11-9","17-13","17","27-32","55-42","79-71","3-3","80-76",0.013,0.205,0.458,-0.068,0.567,0.0409999999999999,0.65,0.124,0.5,-0.026,0.551,0.025,0.5,-0.026,0.469,-0.0570000000000001,0.528,0.002,0.521,-0.005,0.396,-0.13,0.583,0.0569999999999999,0.5,-0.026,0.55,0.024,0.567,0.0409999999999999,0.527,0.001,0.5,-0.026
"NYM","25","NL",155,"66","89",".426","-2","4.6","5.3","-0.8","-0.1","-0.9","67-88",-1,"7-13","34-43","32-46","2-8","19-24","53-66","13-23","17-49","49-40","3-7","8-12","11-19","32.5","14-32","52-57","66-89","0-0","66-89",-0.006,0.277,0.304,-0.122,0.477,0.051,0.35,-0.076,0.442,0.016,0.41,-0.016,0.2,-0.226,0.442,0.016,0.445,0.019,0.361,-0.065,0.258,-0.168,0.551,0.125,0.3,-0.126,0.4,-0.026,0.367,-0.059,0.426,0,NA,NA
"NYY","8","AL",155,"86","69",".555","-1","5.3","4.1","1.2","0.1","1.3","95-60",-9,"15-5","46-28","40-41","5-6","17-25","63-47","23-22","26-22","60-47","7-3","14-6","18-12","12.5","31-26","55-43","80-59","6-10","96-59",-0.058,0.271,0.544,-0.011,0.561,0.00600000000000001,0.75,0.195,0.622,0.0669999999999999,0.494,-0.0610000000000001,0.455,-0.1,0.405,-0.15,0.573,0.0179999999999999,0.511,-0.044,0.542,-0.013,0.561,0.00600000000000001,0.7,0.145,0.7,0.145,0.6,0.0449999999999999,0.576,0.0209999999999999,0.375,-0.18
"OAK","21","AL",155,"72","83",".465","7","4.6","5.1","-0.5","0.2","-0.3","70-85",2,"7-13","45-33","27-50","4-9","20-21","54-59","18-24","24-25","48-58","8-2","14-6","18-12","26.5","33-27","39-56","71-76","1-7","69-86",0.013,0.265,0.55,0.085,0.411,-0.054,0.35,-0.115,0.577,0.112,0.351,-0.114,0.308,-0.157,0.488,0.023,0.478,0.013,0.429,-0.036,0.49,0.025,0.453,-0.012,0.8,0.335,0.7,0.235,0.6,0.135,0.483,0.018,0.125,-0.34
